# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
fa chou 	發愁	c=1 d=1.45089e-55 t=52095
fa chu 	發出	c=2 d=4.58064e-51 t=52095
fa dian 	法典	c=1 d=1.99556e-99 t=52095
fa dian 	發電	c=5 d=2.29231e-14 t=52095
fa dian chang 	發電廠	c=1 d=8.05007e-08 t=52095
fa dian ji 	發電機	c=8 d=3.23216e-14 t=52095
fa dong 	發動	c=6 d=2.17383e-14 t=52095
fa dong ji 	發動機	c=12 d=6.16797e-14 t=52095
fa gai wei 	發改委	c=1 d=0.000188766 t=52095
fa ge 	發個	c=4 d=6.89033e-16 t=52095
fa gei 	發給	c=2 d=2.2143e-58 t=52095
fa guo qu 	發過去	c=1 d=3.3671e-77 t=52095
fa le 	發了	c=2 d=4.98719e-22 t=52095
fa men 	閥門	c=6 d=8.35358e-61 t=52095
fa piao 	發票	c=6 d=2.17388e-34 t=52095
fa qi 	發起	c=4 d=5.09053e-28 t=52095
fa qing 	發情	c=1 d=3.18485e-40 t=52095
fa sheng 	發生	c=16 d=0.00272077 t=52095
fa song 	發送	c=92 d=0.00382973 t=52095
fa wai 	法外	c=2 d=4.87888e-108 t=52095
fa wang 	發往	c=2 d=4.60736e-81 t=52095
fa wo 	發我	c=10 d=1.25002e-10 t=52095
fa xian 	發現	c=43 d=0.295538 t=52095
fa xing 	發行	c=0 d=9.02107e-84 t=52095
fa xing ban 	發行版	c=1 d=9.06629e-83 t=52095
fa yin 	發音	c=1 d=1.01764e-88 t=52095
fa yu 	法語	c=1 d=1.14329e-46 t=52095
fa zhan 	發展	c=2 d=2.58433e-72 t=52095
fa zhen 	發幀	c=3 d=4.95897e-52 t=52095
fan 	反	c=35 d=0.00271207 t=52095
fan 	泛	c=7 d=7.12977e-17 t=52095
fan bian yi 	反編譯	c=2 d=4.69261e-92 t=52095
fan bu 	帆布	c=1 d=8.22082e-49 t=52095
fan chou 	範疇	c=1 d=1.98946e-63 t=52095
fan chu shi 	反初始	c=2 d=4.57053e-47 t=52095
fan chu shi hua 	反初始化	c=14 d=1.36691e-30 t=52095
fan hui 	返回	c=36 d=1.50653e-27 t=52095
fan hui jian 	返回鍵	c=1 d=8.37921e-97 t=52095
fan hui zhi 	返回值	c=1 d=2.22388e-50 t=52095
fan kui 	反饋	c=2 d=1.15962e-07 t=52095
fan qiang 	翻牆	c=1 d=2.00386e-89 t=52095
fan qie 	反切	c=1 d=3.70191e-104 t=52095
fan sheng 	反升	c=2 d=3.37094e-104 t=52095
fan shi xian 	反實現	c=3 d=5.99184e-95 t=52095
fan shi xian 	反時限	c=1 d=3.74561e-95 t=52095
fan shou 	反手	c=3 d=8.83989e-113 t=52095
fan suo 	繁瑣	c=1 d=1.75604e-36 t=52095
fan ti 	繁體	c=16 d=2.7788e-26 t=52095
fan ti zi 	繁體字	c=1 d=4.13628e-27 t=52095
fan wei 	範圍	c=5 d=2.35938e-32 t=52095
fan xiang 	反向	c=5 d=0.000366255 t=52095
fan xie gang 	反斜槓	c=1 d=1.24918e-88 t=52095
fan yao 	反要	c=1 d=5.03388e-14 t=52095
fan ye 	翻頁	c=2 d=1.22845e-97 t=52095
fan yi 	翻譯	c=10 d=0.000534001 t=52095
fan yi ci 	反義詞	c=1 d=1.43612e-111 t=52095
fan yi fan yi 	翻譯翻譯	c=1 d=3.48311e-05 t=52095
fan ying 	反應	c=3 d=8.40941e-14 t=52095
fan ying 	反映	c=5 d=1.07543e-32 t=52095
fan zhi 	反之	c=1 d=1.3338e-65 t=52095
fan zhi 	泛指	c=2 d=6.35659e-15 t=52095
fan zhuan 	反轉	c=1 d=4.02061e-105 t=52095
fan zhuan 	翻轉	c=4 d=5.0959e-11 t=52095
fang 	房	c=8 d=0.00571306 t=52095
fang 	放	c=8 d=8.68e-12 t=52095
fang 	方	c=10 d=6.9598e-11 t=52095
fang 	芳	c=2 d=1.56848e-23 t=52095
fang 	防	c=1 d=1.33457e-13 t=52095
fang an 	方案	c=95 d=0.000135013 t=52095
fang bian 	方便	c=21 d=0.00973037 t=52095
fang bo 	方波	c=1 d=1.40214e-94 t=52095
fang bu fang bian 	方不方便	c=2 d=4.01758e-59 t=52095
fang bu xia 	放不下	c=1 d=6.07091e-100 t=52095
fang cai 	方纔	c=1 d=1.09284e-15 t=52095
fang cha 	房查	c=5 d=1.57667e-87 t=52095
fang chan 	房產	c=3 d=3.79898e-85 t=52095
fang chan shui 	房產稅	c=2 d=2.26004e-85 t=52095
fang cun 	方寸	c=1 d=1.2065e-32 t=52095
fang dai 	房貸	c=2 d=3.54195e-58 t=52095
fang dao 	放到	c=5 d=2.76218e-12 t=52095
fang dao men 	防盜門	c=1 d=1.34167e-46 t=52095
fang di chan 	房地產	c=3 d=3.26082e-82 t=52095
fang fa 	方法	c=7 d=0.63958 t=52095
fang fa yi 	方法以	c=1 d=0.529935 t=52095
fang guan 	房管	c=1 d=2.32214e-88 t=52095
fang guan ju 	房管局	c=2 d=5.28899e-88 t=52095
fang hui 	放回	c=1 d=8.32068e-44 t=52095
fang huo qiang 	防火牆	c=1 d=1.47734e-91 t=52095
fang jia 	房價	c=2 d=1.30202e-46 t=52095
fang jia 	放假	c=1 d=1.22803e-93 t=52095
fang jian 	房間	c=1 d=8.56186e-86 t=52095
fang kai 	放開	c=2 d=4.4611e-87 t=52095
fang ke 	方可	c=4 d=1.65328e-42 t=52095
fang kuai 	方塊	c=2 d=1.23643e-111 t=52095
fang kuan 	房款	c=2 d=3.40956e-78 t=52095
fang mian 	方面	c=3 d=1.51793e-14 t=52095
fang ni 	放你	c=3 d=2.81924e-76 t=52095
fang qi 	放棄	c=2 d=1.66813e-20 t=52095
fang sheng 	仿生	c=0 d=8.47523e-85 t=52095
fang sheng 	放生	c=0 d=7.66871e-85 t=52095
fang sheng ren 	仿生人	c=1 d=8.51771e-84 t=52095
fang sheng ren 	放生人	c=1 d=7.70714e-84 t=52095
fang shi 	方式	c=88 d=0.00283653 t=52095
fang wen 	訪問	c=38 d=5.64353e-06 t=52095
fang xiang 	方向	c=1 d=1.10732e-111 t=52095
fang xin 	放心	c=1 d=0.000244817 t=52095
fang yi 	防疫	c=1 d=5.49226e-98 t=52095
fang zai 	放在	c=4 d=1.86654e-48 t=52095
fang zhe 	放着	c=1 d=2.11104e-55 t=52095
fang zhen qi 	仿真器	c=2 d=5.59274e-43 t=52095
fang zheng 	方正	c=2 d=3.65348e-08 t=52095
fang zhi 	放置	c=6 d=9.29264e-79 t=52095
fang zhi 	放至	c=2 d=1.58922e-38 t=52095
fang zhi 	防止	c=12 d=3.22968e-28 t=52095
fang zi 	房子	c=5 d=1.39984e-16 t=52095
fei 	費	c=1 d=6.46651e-78 t=52095
fei 	非	c=16 d=3.70227e-17 t=52095
fei 	飛	c=2 d=7.81348e-10 t=52095
fei chang 	肥腸	c=1 d=6.81776e-112 t=52095
fei chang 	非常	c=9 d=1.48261e-13 t=52095
fei ci 	非此	c=1 d=6.98367e-42 t=52095
fei ci ji bi 	非此即彼	c=1 d=7.01867e-42 t=52095
fei cui 	翡翠	c=6 d=2.15786e-19 t=52095
fei dei 	非得	c=1 d=1.88582e-110 t=52095
fei hua 	廢話	c=2 d=1.74822e-05 t=52095
fei ji 	飛機	c=2 d=3.68193e-11 t=52095
fei jie 	費解	c=1 d=6.01377e-77 t=52095
fei li pu 	菲利普	c=1 d=1.22678e-81 t=52095
fei lv 	費率	c=9 d=1.45837e-10 t=52095
fei qi 	廢棄	c=6 d=5.83151e-29 t=52095
fei qi 	飛起	c=1 d=1.51629e-103 t=52095
fei tie 	廢鐵	c=1 d=1.89114e-55 t=52095
fei xian 	飛線	c=2 d=6.79982e-70 t=52095
fei xing 	飛行	c=3 d=1.85452e-82 t=52095
fei yong 	費用	c=2 d=3.51054e-08 t=52095
fei yue 	飛躍	c=3 d=1.18995e-46 t=52095
fen 	份	c=1 d=1.395e-34 t=52095
fen 	分	c=38 d=0.00456293 t=52095
fen bao 	分包	c=1 d=9.21801e-43 t=52095
fen bei 	分貝	c=1 d=6.41874e-79 t=52095
fen bie 	分別	c=14 d=1.36835e-13 t=52095
fen bu 	分部	c=1 d=2.71311e-07 t=52095
fen ceng 	分層	c=8 d=4.64297e-13 t=52095
fen cheng 	分成	c=2 d=1.38144e-34 t=52095
fen fa 	分發	c=3 d=1.70246e-41 t=52095
fen fei 	紛飛	c=2 d=5.79382e-41 t=52095
fen he zha 	分合閘	c=2 d=1.12056e-15 t=52095
fen kai 	分開	c=2 d=1.74734e-07 t=52095
fen kuai 	分塊	c=3 d=2.65406e-34 t=52095
fen le 	分了	c=1 d=3.6768e-24 t=52095
fen lei 	分類	c=10 d=7.24825e-08 t=52095
fen li 	分離	c=1 d=1.1738e-91 t=52095
fen nu 	憤怒	c=1 d=3.36492e-40 t=52095
fen pei 	分配	c=2 d=1.61112e-97 t=52095
fen pian 	分片	c=4 d=2.99229e-39 t=52095
fen pin 	分頻	c=5 d=0.00530026 t=52095
fen ping 	分屏	c=1 d=8.41548e-89 t=52095
fen qu 	分區	c=2 d=1.67065e-88 t=52095
fen san 	分散	c=16 d=3.2123e-28 t=52095
fen tan 	分攤	c=1 d=1.36279e-112 t=52095
fen wei 	分爲	c=20 d=9.38184e-15 t=52095
fen xi 	分析	c=39 d=0.284657 t=52095
fen xian 	分線	c=0 d=3.35601e-98 t=52095
fen xian qi 	分線器	c=1 d=3.37284e-97 t=52095
fen xiang 	分享	c=5 d=9.57207e-30 t=52095
fen xiang 	分相	c=21 d=7.28193e-09 t=52095
fen ye 	分頁	c=2 d=5.3331e-112 t=52095
fen zha 	分閘	c=35 d=1.56752e-07 t=52095
fen zha jian 	分閘鍵	c=1 d=7.76293e-110 t=52095
fen zhi 	分支	c=7 d=2.16505e-31 t=52095
fen zhi 	分枝	c=1 d=2.57161e-112 t=52095
fen zhong 	分鐘	c=20 d=0.00282922 t=52095
fen zi 	分子	c=1 d=2.55685e-15 t=52095
fen zu 	分組	c=1 d=0.00489275 t=52095
feng 	封	c=1 d=5.50665e-70 t=52095
feng 	峯	c=2 d=3.4494e-67 t=52095
feng 	鳳	c=2 d=6.38544e-69 t=52095
feng fu 	豐富	c=1 d=3.26658e-44 t=52095
feng ge 	風格	c=1 d=5.0156e-30 t=52095
feng han 	風寒	c=1 d=1.54718e-105 t=52095
feng huo 	烽火	c=0 d=0.145346 t=52095
feng kuang 	瘋狂	c=1 d=3.45469e-85 t=52095
feng qi 	風氣	c=1 d=5.00776e-41 t=52095
feng re 	風熱	c=1 d=1.55494e-105 t=52095
feng tiao 	封條	c=1 d=3.39852e-98 t=52095
feng wo 	蜂窩	c=1 d=1.0286e-67 t=52095
feng xian 	風險	c=9 d=1.33043e-24 t=52095
feng you lan 	馮友蘭	c=1 d=9.75278e-30 t=52095
feng yuan 	逢源	c=1 d=1.57286e-35 t=52095
feng zhuang 	封裝	c=4 d=5.49372e-13 t=52095
fo 	佛	c=1 d=1.91047e-57 t=52095
fou 	否	c=51 d=0.0495388 t=52095
fou ding 	否定	c=1 d=3.46905e-75 t=52095
fou ze 	否則	c=16 d=2.48171e-17 t=52095
fu 	付	c=6 d=4.6982e-55 t=52095
fu 	府	c=2 d=1.91525e-69 t=52095
fu 	服	c=1 d=5.98174e-73 t=52095
fu 	福	c=2 d=1.39329e-49 t=52095
fu 	覆	c=1 d=1.00266e-90 t=52095
fu 	負	c=2 d=3.85874e-55 t=52095
fu ban ya 	氟斑牙	c=2 d=1.90336e-34 t=52095
fu chu 	付出	c=2 d=6.62038e-30 t=52095
fu dian 	浮點	c=2 d=7.30114e-65 t=52095
fu dian 	覆電	c=2 d=1.38414e-08 t=52095
fu dian shu 	浮點數	c=2 d=6.70619e-65 t=52095
fu dian xing 	浮点型	c=2 d=1.27264e-64 t=52095
fu fei 	付費	c=1 d=2.5175e-09 t=52095
fu gai 	覆蓋	c=3 d=2.03444e-39 t=52095
fu hao 	符號	c=29 d=6.97019e-08 t=52095
fu hao lian jie 	符号链接	c=1 d=1.02528e-29 t=52095
fu he 	符合	c=2 d=1.18833e-30 t=52095
fu he 	負荷	c=12 d=0.00103332 t=52095
fu jia 	附加	c=10 d=3.7221e-21 t=52095
fu jian 	附件	c=5 d=3.23477e-18 t=52095
fu kong 	浮空	c=1 d=2.86984e-50 t=52095
fu li 	福利	c=6 d=6.85587e-60 t=52095
fu lu 	附錄	c=15 d=0.0031926 t=52095
fu mu 	父母	c=1 d=4.08581e-59 t=52095
fu pian 	負片	c=2 d=3.36982e-102 t=52095
fu qin 	父親	c=1 d=3.11352e-97 t=52095
fu ren 	夫人	c=3 d=8.82841e-69 t=52095
fu she neng 	輻射能	c=1 d=1.0631e-14 t=52095
fu shu 	複數	c=1 d=1.16081e-19 t=52095
fu shu 	負數	c=1 d=2.99877e-67 t=52095
fu tie 	服帖	c=1 d=9.62886e-56 t=52095
fu wei 	復位	c=60 d=0.0473709 t=52095
fu wei hou 	復位後	c=2 d=1.73739e-28 t=52095
fu wei jian 	復位鍵	c=1 d=7.64736e-110 t=52095
fu wu 	服務	c=33 d=0.000460861 t=52095
fu wu qi 	服務器	c=72 d=8.10077e-05 t=52095
fu xi 	複習	c=2 d=5.17715e-50 t=52095
fu xiao min 	付曉敏	c=1 d=3.80286e-97 t=52095
fu ye 	副業	c=1 d=1.94629e-99 t=52095
fu yi 	輔以	c=1 d=5.03527e-76 t=52095
fu yin jian 	複印件	c=2 d=2.71146e-88 t=52095
fu yong 	復用	c=9 d=0.00491728 t=52095
fu za 	複雜	c=4 d=6.32304e-50 t=52095
fu za du 	複雜度	c=2 d=3.88317e-34 t=52095
fu zai 	負載	c=5 d=4.21154e-92 t=52095
fu ze 	負責	c=15 d=2.5288e-32 t=52095
fu zhai 	負債	c=8 d=8.88273e-78 t=52095
fu zhai lv 	負債率	c=2 d=9.24705e-91 t=52095
fu zhe 	覆轍	c=1 d=1.63588e-55 t=52095
fu zhi 	複製	c=10 d=6.36349e-23 t=52095
fu zhi 	賦值	c=9 d=1.66528e-30 t=52095
fu zhu 	輔助	c=2 d=6.67867e-96 t=52095
fu zhuang 	服裝	c=2 d=7.91378e-64 t=52095
fu zhuo 	附着	c=4 d=1.2703e-50 t=52095
gai 	改	c=14 d=1.9657e-10 t=52095
gai 	蓋	c=6 d=3.35023e-87 t=52095
gai 	該	c=143 d=0.804581 t=52095
gai ban 	該版	c=1 d=2.61189e-89 t=52095
gai bian 	改變	c=8 d=6.61465e-21 t=52095
gai cha 	改查	c=1 d=1.18712e-18 t=52095
gai cheng 	改成	c=1 d=1.62015e-59 t=52095
gai chi 	改吃	c=0 d=0.000451658 t=52095
gai chi chi 	改吃吃	c=1 d=0.00453922 t=52095
gai dong 	改動	c=5 d=4.52427e-23 t=52095
gai fu hao 	該符號	c=2 d=2.95024e-09 t=52095
gai gai 	改改	c=1 d=0.00946646 t=52095
gai hao 	改好	c=0 d=3.19951e-95 t=52095
gai hao le 	改好了	c=1 d=3.21555e-94 t=52095
gai ji 	該機	c=1 d=1.51011e-55 t=52095
gai jin 	改進	c=4 d=4.53213e-15 t=52095
gai jin ne 	改進呢	c=1 d=4.55484e-14 t=52095
gai kuo 	概括	c=1 d=1.02319e-05 t=52095
gai le 	改了	c=2 d=3.05031e-91 t=52095
gai li 	該離	c=1 d=9.31955e-113 t=52095
gai liu cheng 	該流程	c=1 d=4.20666e-49 t=52095
gai lv 	概率	c=2 d=2.10208e-05 t=52095
gai ma 	改嗎	c=1 d=4.31183e-16 t=52095
gai ming 	改名	c=2 d=5.71291e-112 t=52095
gai mu lu 	該目錄	c=1 d=1.11238e-47 t=52095
gai nian 	概念	c=7 d=3.55557e-48 t=52095
gai qing qiu 	該請求	c=1 d=5.87247e-62 t=52095
gai ri 	改日	c=1 d=1.98601e-72 t=52095
gai ru kou 	該入口	c=1 d=3.61075e-46 t=52095
gai shi jian 	該時間	c=1 d=2.98737e-81 t=52095
gai shu 	概述	c=4 d=5.89294e-11 t=52095
gai wei 	改爲	c=33 d=3.09875e-11 t=52095
gai wen 	該文	c=1 d=3.73173e-22 t=52095
gai wen jian 	該文件	c=2 d=2.01232e-21 t=52095
gai wen ti 	該問題	c=2 d=0.0193512 t=52095
gai xie 	改寫	c=4 d=7.8869e-75 t=52095
gai xin pian 	該芯片	c=1 d=2.95522e-42 t=52095
gai yao 	概要	c=2 d=0.0502874 t=52095
gai yi xia 	改一下	c=1 d=8.66882e-85 t=52095
gai yong 	改用	c=6 d=2.15676e-13 t=52095
gai zhuang 	改裝	c=1 d=2.22336e-106 t=52095
gai zi duan 	該字段	c=3 d=5.05447e-72 t=52095
gan 	乾	c=0 d=0.0704688 t=52095
gan 	幹	c=7 d=1.35466e-12 t=52095
gan diao 	幹掉	c=1 d=9.45167e-14 t=52095
gan ga 	尷尬	c=1 d=5.7888e-99 t=52095
gan huang guan 	幹簧管	c=1 d=1.02184e-107 t=52095
gan huo 	幹活	c=2 d=7.76608e-56 t=52095
gan jing 	乾淨	c=1 d=8.13876e-78 t=52095
gan ju 	柑橘	c=1 d=3.83116e-96 t=52095
gan jue 	感覺	c=3 d=0.0096577 t=52095
gan lan 	橄欖	c=1 d=6.96281e-95 t=52095
gan ming 	趕明	c=1 d=4.28553e-91 t=52095
gan rao 	干擾	c=10 d=2.3481e-13 t=52095
gan sha 	幹啥	c=2 d=3.81141e-94 t=52095
gan shang 	趕上	c=1 d=4.07444e-85 t=52095
gan shen me 	幹什麼	c=4 d=8.37717e-06 t=52095
gan wen 	敢問	c=1 d=4.13025e-98 t=52095
gan xie 	感謝	c=1 d=3.04046e-53 t=52095
gan xing qu 	感興趣	c=3 d=2.1061e-27 t=52095
gan ying 	感應	c=1 d=1.85665e-15 t=52095
gan yu 	干預	c=1 d=1.50642e-85 t=52095
gan zhi 	感知	c=1 d=9.41223e-53 t=52095
gang 	剛	c=1 d=0.00182795 t=52095
gang 	港	c=5 d=5.8699e-27 t=52095
gang cai 	剛纔	c=4 d=5.20964e-06 t=52095
gang gang 	剛剛	c=6 d=4.18439e-16 t=52095
gang gu 	港股	c=4 d=1.11628e-90 t=52095
gang hao 	剛好	c=1 d=1.63867e-75 t=52095
gang hua 	鋼化	c=1 d=4.64498e-68 t=52095
gang kai ji 	剛開機	c=1 d=8.08904e-06 t=52095
gang kan dao 	剛看到	c=1 d=2.3831e-40 t=52095
gang lai 	剛來	c=1 d=3.23607e-110 t=52095
gang xiang 	剛想	c=0 d=4.17687e-84 t=52095
gang xiang qi lai 	剛想起來	c=1 d=4.19781e-83 t=52095
gao 	告	c=3 d=1.41796e-79 t=52095
gao 	搞	c=6 d=1.04148e-29 t=52095
gao 	高	c=17 d=0.0562218 t=52095
gao bang 	高幫	c=1 d=8.17982e-49 t=52095
gao bu dao 	搞不到	c=1 d=2.83645e-30 t=52095
gao ceng 	高層	c=1 d=3.45047e-100 t=52095
gao chu lai 	搞出來	c=0 d=6.5315e-79 t=52095
gao chu lai de 	搞出來的	c=1 d=6.56424e-78 t=52095
gao de 	高德	c=0 d=3.16489e-114 t=52095
gao de di tu 	高德地圖	c=1 d=3.18076e-113 t=52095
gao deng 	高等	c=3 d=1.75305e-07 t=52095
gao di 	高低	c=3 d=0.0139912 t=52095
gao dian ping 	高電平	c=4 d=0.0280154 t=52095
gao ding 	搞定	c=3 d=1.5898e-13 t=52095
gao du 	高度	c=2 d=1.40978e-11 t=52095
gao ji 	高級	c=3 d=3.94727e-57 t=52095
gao jing 	告警	c=58 d=4.68626e-09 t=52095
gao jing xin xi 	告警信息	c=1 d=5.71835e-102 t=52095
gao pin 	高頻	c=5 d=1.44095e-25 t=52095
gao qing chu 	搞清楚	c=1 d=7.62916e-82 t=52095
gao su 	告訴	c=2 d=8.6112e-36 t=52095
gao su 	高速	c=4 d=1.30476e-12 t=52095
gao wan 	搞完	c=1 d=5.27275e-30 t=52095
gao wei 	高位	c=1 d=6.40368e-22 t=52095
gao xiao 	高效	c=1 d=1.47328e-88 t=52095
gao xiao 	高校	c=1 d=1.64229e-101 t=52095
gao xie 	搞些	c=1 d=7.89822e-78 t=52095
gao xin 	高新	c=2 d=3.41588e-11 t=52095
gao xin qu 	高新區	c=1 d=1.27623e-46 t=52095
gao ya 	高壓	c=1 d=6.50952e-09 t=52095
gao yi 	高一	c=1 d=1.40734e-20 t=52095
gao you xian ji 	高优先级	c=1 d=9.589e-66 t=52095
gao yu 	高於	c=1 d=9.52109e-100 t=52095
gao zhi 	告知	c=15 d=4.78593e-08 t=52095
ge 	個	c=81 d=0.0940144 t=52095
ge 	各	c=17 d=2.72671e-07 t=52095
ge 	哥	c=8 d=0.110251 t=52095
ge 	嗝	c=1 d=5.06999e-98 t=52095
ge 	格	c=1 d=2.65379e-41 t=52095
ge 	歌	c=2 d=2.49584e-25 t=52095
ge 	葛	c=0 d=4.88511e-15 t=52095
ge 	隔	c=2 d=6.46321e-72 t=52095
ge bi 	隔壁	c=1 d=1.84168e-08 t=52095
ge ceng 	各層	c=2 d=1.29639e-23 t=52095
ge da ye 	葛大爺	c=1 d=4.90959e-14 t=52095
ge ge 	個個	c=1 d=1.59083e-50 t=52095
ge ge 	各個	c=14 d=0.0569877 t=52095
ge li gao li 	格里高利	c=1 d=7.62941e-53 t=52095
ge pi 	噶屁	c=1 d=8.13513e-14 t=52095
ge qu 	歌曲	c=1 d=2.71293e-65 t=52095
ge ren 	個人	c=31 d=1.22289e-08 t=52095
ge shi 	格式	c=58 d=0.00135996 t=52095
ge shi duan 	各時段	c=1 d=3.46209e-22 t=52095
ge shi ge yang 	各式各樣	c=1 d=2.27166e-06 t=52095
ge shi hua 	格式化	c=7 d=2.9491e-47 t=52095
ge shou 	歌手	c=1 d=1.2768e-110 t=52095
ge shu 	個數	c=5 d=1.11932e-32 t=52095
ge wei 	各位	c=5 d=4.87001e-07 t=52095
ge xiang 	各項	c=3 d=1.94648e-12 t=52095
ge zhi 	擱置	c=1 d=3.62244e-84 t=52095
ge zhong 	各種	c=19 d=0.0957121 t=52095
ge zi 	各自	c=2 d=1.40998e-42 t=52095
gei 	給	c=37 d=9.85905e-06 t=52095
gei chu 	給出	c=4 d=9.80866e-10 t=52095
gei chu le 	給出了	c=1 d=9.85783e-09 t=52095
gei ni 	給你	c=7 d=5.5796e-19 t=52095
gei nin 	給您	c=1 d=2.74533e-87 t=52095
gei wo 	給我	c=13 d=0.00296761 t=52095
gen 	根	c=2 d=1.13941e-06 t=52095
gen 	跟	c=11 d=0.0764645 t=52095
gen hao 	根號	c=1 d=2.00962e-55 t=52095
gen ju 	根據	c=26 d=8.93978e-06 t=52095
gen mu lu 	根目錄	c=3 d=3.09345e-21 t=52095
gen ni 	跟你	c=5 d=4.49711e-11 t=52095
gen sui 	跟隨	c=1 d=6.49251e-37 t=52095
gen wo 	跟我	c=8 d=5.29918e-30 t=52095
gen wo jiang 	跟我講	c=1 d=7.38056e-104 t=52095
gen wo shuo 	跟我說	c=1 d=2.98991e-91 t=52095
gen yu 	根域	c=1 d=3.14813e-80 t=52095
gen zong 	跟蹤	c=4 d=5.85115e-63 t=52095
geng 	更	c=12 d=0.000111827 t=52095
geng da 	更大	c=2 d=4.3721e-91 t=52095
geng duo 	更多	c=1 d=6.30619e-18 t=52095
geng fang bian 	更方便	c=1 d=1.73644e-51 t=52095
geng gai 	更改	c=9 d=9.00938e-09 t=52095
geng gao 	更高	c=2 d=2.56636e-66 t=52095
geng hao 	更好	c=4 d=3.20857e-06 t=52095
geng he li 	更合理	c=1 d=1.74402e-14 t=52095
geng huan 	更換	c=10 d=6.28777e-13 t=52095
geng jia 	更加	c=1 d=5.49056e-65 t=52095
geng kuai 	更快	c=1 d=2.18854e-38 t=52095
geng ming 	更名	c=1 d=5.46411e-67 t=52095
geng qing xiang 	更傾向	c=1 d=1.8155e-16 t=52095
geng sha 	更紗	c=4 d=2.58341e-33 t=52095
geng ti 	更替	c=1 d=3.49737e-53 t=52095
geng xin 	更新	c=135 d=0.0129199 t=52095
geng zheng 	更正	c=2 d=4.98143e-36 t=52095
gong 	供	c=6 d=1.00068e-05 t=52095
gong 	公	c=6 d=8.18147e-22 t=52095
gong 	共	c=4 d=3.44963e-09 t=52095
gong 	功	c=4 d=1.51183e-96 t=52095
gong 	工	c=8 d=1.30498e-15 t=52095
gong bao 	宮保	c=7 d=0.67032 t=52095
gong bian 	公變	c=1 d=1.85976e-64 t=52095
gong cha 	公差	c=1 d=1.36361e-31 t=52095
gong cheng 	工程	c=52 d=0.181023 t=52095
gong cheng shi 	工程師	c=4 d=3.54117e-23 t=52095
gong di 	共地	c=1 d=3.60817e-67 t=52095
gong dian 	供電	c=17 d=0.00680573 t=52095
gong fei 	公費	c=1 d=1.48859e-92 t=52095
gong fu 	功夫	c=1 d=6.5315e-78 t=52095
gong gao 	公告	c=2 d=1.21399e-46 t=52095
gong gong 	公共	c=34 d=0.00212666 t=52095
gong hao 	功耗	c=22 d=1.11886e-24 t=52095
gong hong da 	工宏大	c=1 d=1.31153e-14 t=52095
gong huo 	供貨	c=3 d=1.07083e-11 t=52095
gong ji jin 	公積金	c=9 d=8.53022e-67 t=52095
gong jian 	共建	c=1 d=3.69751e-90 t=52095
gong ju 	工具	c=74 d=0.340112 t=52095
gong kai 	公開	c=2 d=0.00123485 t=52095
gong kong 	工控	c=1 d=2.56723e-92 t=52095
gong li 	公曆	c=2 d=1.37626e-52 t=52095
gong li 	公里	c=1 d=3.243e-47 t=52095
gong lu 	公路	c=1 d=0.00065886 t=52095
gong lv 	功率	c=34 d=3.44938e-05 t=52095
gong neng 	功能	c=232 d=0.0188872 t=52095
gong pin 	工頻	c=2 d=1.60316e-15 t=52095
gong shang 	工商	c=4 d=0.00265848 t=52095
gong shi 	公式	c=3 d=0.000833397 t=52095
gong si 	公司	c=42 d=0.00342452 t=52095
gong xian 	貢獻	c=0 d=1.28372e-57 t=52095
gong xian tai 	貢獻態	c=1 d=1.29016e-56 t=52095
gong xiang 	共享	c=23 d=6.50314e-06 t=52095
gong xiang ku 	共享庫	c=1 d=2.43199e-73 t=52095
gong xin bu 	工信部	c=2 d=3.56795e-47 t=52095
gong ye 	工業	c=1 d=1.95033e-94 t=52095
gong ying 	供應	c=3 d=1.7455e-77 t=52095
gong ying shang 	供應商	c=4 d=1.1431e-44 t=52095
gong yong 	共用	c=5 d=3.1003e-47 t=52095
gong you 	公有	c=1 d=1.19718e-29 t=52095
gong you 	共有	c=3 d=3.63214e-37 t=52095
gong yu 	公寓	c=1 d=3.07563e-100 t=52095
gong zhang 	公章	c=2 d=1.98239e-87 t=52095
gong zhe 	供着	c=1 d=2.16066e-93 t=52095
gong zhuan 	公轉	c=2 d=4.18923e-53 t=52095
gong zi 	工資	c=2 d=3.11946e-90 t=52095
gong zuo 	工作	c=86 d=0.277496 t=52095
gong zuo qu 	工作區	c=2 d=1.64164e-29 t=52095
gong zuo ri 	工作日	c=1 d=6.68752e-91 t=52095
gong zuo yong 	工作用	c=1 d=1.27065e-112 t=52095
gou 	夠	c=3 d=1.61322e-38 t=52095
gou 	狗	c=4 d=0.00467746 t=52095
gou dian 	購電	c=1 d=0.00150344 t=52095
gou fang 	購房	c=7 d=2.7512e-86 t=52095
gou jian 	構建	c=9 d=1.2405e-06 t=52095
gou mai 	購買	c=1 d=8.47497e-113 t=52095
gou ri de 	狗日的	c=1 d=3.53865e-44 t=52095
gou tong 	苟同	c=1 d=5.87985e-18 t=52095
gou wu 	購物	c=3 d=1.01455e-96 t=52095
gou xuan 	勾選	c=2 d=9.48874e-60 t=52095
gou zi 	狗子	c=1 d=2.50683e-106 t=52095
