# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
ci shi 	此時	c=3 d=1.07602e-09 t=21961
ci shu 	次數	c=32 d=1.26015 t=21961
ci tie 	磁鐵	c=1 d=1.81581e-18 t=21961
ci wei 	此爲	c=2 d=4.32886e-24 t=21961
ci zu 	詞組	c=1 d=7.63639e-05 t=21961
cong 	從	c=50 d=0.893119 t=21961
cong er 	從而	c=1 d=0.557106 t=21961
cu 	粗	c=1 d=3.71766e-07 t=21961
cu she 	粗設	c=2 d=1.44069e-06 t=21961
cuan gai 	篡改	c=2 d=8.37797e-09 t=21961
cui 	崔	c=1 d=0.704688 t=21961
cui lao shi 	崔老師	c=1 d=7.49283e-17 t=21961
cun 	存	c=5 d=0.0170652 t=21961
cun 	村	c=1 d=1.68753e-09 t=21961
cun chu 	存儲	c=93 d=5.13117 t=21961
cun chu qu 	存儲區	c=5 d=0.000169951 t=21961
cun chu xiao xi 	存儲消息	c=1 d=0.0169075 t=21961
cun chu zhi 	存儲值	c=1 d=0.00188279 t=21961
cun fang 	存放	c=7 d=0.000809516 t=21961
cun zai 	存在	c=19 d=0.88529 t=21961
cun zai yu 	存在與	c=1 d=0.00927901 t=21961
cuo hao 	錯號	c=1 d=1.93875e-24 t=21961
cuo wu 	錯誤	c=34 d=0.839457 t=21961
da 	嗒	c=1 d=0.304221 t=21961
da 	大	c=11 d=1.70037 t=21961
da 	打	c=1 d=9.88166e-08 t=21961
da 	答	c=1 d=4.39594e-08 t=21961
da 	達	c=1 d=2.74747e-08 t=21961
da an 	答案	c=1 d=3.2398e-06 t=21961
da ban 	大板	c=0 d=3.73173e-23 t=21961
da ban ben 	大版本	c=1 d=5.33045e-11 t=21961
da ban zi 	大板子	c=1 d=3.75044e-22 t=21961
da cheng xu 	大程序	c=2 d=7.89982e-14 t=21961
da dao 	達到	c=4 d=0.923116 t=21961
da de 	大的	c=1 d=2.66763e-14 t=21961
da duan 	打斷	c=1 d=1.2849e-08 t=21961
da duo 	大多	c=2 d=0.000389541 t=21961
da gai 	大概	c=8 d=0.14808 t=21961
da gai lv 	大概率	c=1 d=4.14276e-16 t=21961
da huan jing 	大環境	c=1 d=0.00390694 t=21961
da jia 	大家	c=3 d=7.2813e-05 t=21961
da jian 	搭建	c=5 d=0.0016213 t=21961
da kai 	打開	c=10 d=0.185448 t=21961
da kuo hao 	大括號	c=1 d=0.000777055 t=21961
da lei 	大類	c=3 d=0.00895996 t=21961
da lou 	大樓	c=2 d=1.48023e-30 t=21961
da lou ju min 	大樓居民	c=1 d=5.26004e-31 t=21961
da men 	大門	c=1 d=3.81308e-11 t=21961
da mo 	達摩	c=1 d=2.37743e-12 t=21961
da niu 	大牛	c=2 d=0.364219 t=21961
da qing 	大慶	c=1 d=0.00143012 t=21961
da rao 	打擾	c=2 d=0.292293 t=21961
da shi gu 	大事故	c=1 d=1.60659e-19 t=21961
da shu 	大數	c=1 d=0.0194482 t=21961
da si 	大肆	c=1 d=0.0356146 t=21961
da wu wei 	大無畏	c=0 d=0.00112769 t=21961
da wu wei de 	大無畏的	c=1 d=0.0113334 t=21961
da xia 	大廈	c=2 d=4.00264e-13 t=21961
da xiao 	大小	c=12 d=0.40657 t=21961
da xue 	大學	c=7 d=1.04633e-07 t=21961
da yin 	打印	c=3 d=9.82777e-07 t=21961
da yu 	大於	c=3 d=0.0041867 t=21961
da zhi 	大致	c=1 d=0.0963276 t=21961
da zhong 	大衆	c=1 d=0.0134335 t=21961
da zhu 	打住	c=2 d=8.05733e-08 t=21961
dai 	代	c=1 d=2.12097e-22 t=21961
dai 	帶	c=3 d=0.00145995 t=21961
dai 	待	c=9 d=0.241714 t=21961
dai biao 	代表	c=3 d=1.15939 t=21961
dai chao 	待抄	c=1 d=0.0411719 t=21961
dai er 	戴爾	c=1 d=0.00172937 t=21961
dai fa 	待發	c=3 d=6.81787e-07 t=21961
dai hao 	代號	c=3 d=0.000581442 t=21961
dai hui er 	待會兒	c=2 d=0.00107542 t=21961
dai lai 	帶來	c=1 d=1.18668e-13 t=21961
dai lai le 	帶來了	c=1 d=1.19246e-12 t=21961
dai li 	代理	c=2 d=0.401784 t=21961
dai ma 	代碼	c=43 d=2.66426 t=21961
dai ma ku 	代碼庫	c=2 d=2.71533e-09 t=21961
dai ti 	代替	c=2 d=0.000422213 t=21961
dai you 	帶有	c=1 d=8.21129e-06 t=21961
dai zhe 	帶着	c=1 d=9.03116e-08 t=21961
dan 	但	c=10 d=1.09483 t=21961
dan 	單	c=8 d=0.0513038 t=21961
dan bai zhi 	蛋白質	c=1 d=1.10131e-47 t=21961
dan biao 	單表	c=3 d=1.62516e-22 t=21961
dan bu 	單步	c=1 d=3.4843e-09 t=21961
dan bu yi ding 	但不一定	c=1 d=0.0151463 t=21961
dan ci 	單次	c=1 d=2.43298e-19 t=21961
dan ci 	單詞	c=1 d=2.42085e-19 t=21961
dan diao 	單調	c=3 d=3.87749e-47 t=21961
dan du 	單獨	c=3 d=7.95075e-09 t=21961
dan ge 	單個	c=6 d=1.6396e-08 t=21961
dan sheng 	誕生	c=1 d=3.08924e-05 t=21961
dan shi 	但是	c=27 d=1.39138 t=21961
dan wei 	單位	c=4 d=0.0655462 t=21961
dan ye 	但也	c=2 d=0.0371647 t=21961
dan yi 	單一	c=1 d=1.24172e-47 t=21961
dan yuan 	單元	c=7 d=0.000122182 t=21961
dan zhen 	單幀	c=2 d=0.539809 t=21961
dan zi 	單字	c=0 d=1.20363e-05 t=21961
dan zi jie 	單字節	c=3 d=0.000374062 t=21961
dang 	當	c=16 d=1.1637 t=21961
dang 	黨	c=3 d=0.0180901 t=21961
dang an 	檔案	c=84 d=3.71215 t=21961
dang qian 	當前	c=56 d=1.26286 t=21961
dang qian zhi 	當前值	c=2 d=1.38329e-11 t=21961
dang qiang 	攩戧	c=1 d=0.00386807 t=21961
dang ran 	當然	c=1 d=0.00975476 t=21961
dang ri 	當日	c=3 d=0.0024956 t=21961
dang shi 	當時	c=1 d=3.49082e-31 t=21961
dang xia 	當下	c=1 d=1.59668e-05 t=21961
dang zhu 	擋住	c=0 d=3.83872e-32 t=21961
dang zhu le 	擋住了	c=1 d=3.85796e-31 t=21961
dang zuo 	當作	c=3 d=0.000638403 t=21961
dao 	倒	c=3 d=2.56079 t=21961
dao 	到	c=63 d=1.97227 t=21961
dao 	道	c=1 d=8.1673e-31 t=21961
dao chu 	到處	c=1 d=1.36361e-31 t=21961
dao ci 	到此	c=1 d=0.000100034 t=21961
dao da 	到達	c=2 d=5.12369e-05 t=21961
dao dao 	道道	c=1 d=0.0023344 t=21961
dao de 	到的	c=1 d=1.16702e-23 t=21961
dao de 	道德	c=1 d=1.1612e-23 t=21961
dao di 	到底	c=1 d=1.30747e-07 t=21961
dao huo 	到貨	c=1 d=0.155673 t=21961
dao le 	到了	c=2 d=2.80975e-07 t=21961
dao shi 	倒是	c=1 d=0.00302755 t=21961
dao wei 	到位	c=1 d=0.0132999 t=21961
dao zhi 	導致	c=19 d=0.0297064 t=21961
de 	地	c=5 d=0.865449 t=21961
de 	得	c=6 d=0.0162445 t=21961
de 	的	c=833 d=13.3459 t=21961
de chu 	得出	c=1 d=0.0237541 t=21961
de dao 	得到	c=5 d=0.201557 t=21961
de duo 	得多	c=1 d=0.0403566 t=21961
de hua 	的話	c=3 d=0.00932553 t=21961
de liao 	得了	c=0 d=1.32723e-08 t=21961
de ma 	的嗎	c=1 d=0.0812682 t=21961
de xia 	德夏	c=1 d=3.09029e-09 t=21961
dei 	得	c=5 d=0.546074 t=21961
deng 	燈	c=4 d=0.141053 t=21961
deng 	登	c=1 d=3.54057e-21 t=21961
deng 	等	c=12 d=0.559898 t=21961
deng chu 	登出	c=3 d=0.0205478 t=21961
deng dai 	等待	c=34 d=0.731081 t=21961
deng dao 	等到	c=1 d=7.74364e-22 t=21961
deng ji 	等級	c=2 d=3.88186e-06 t=21961
deng jia 	等價	c=0 d=2.42312e-05 t=21961
deng jia de 	等價的	c=1 d=0.000153011 t=21961
deng jia yu 	等價於	c=1 d=9.05145e-05 t=21961
deng le 	登了	c=2 d=1.75385e-21 t=21961
deng le 	等了	c=2 d=0.000214973 t=21961
deng long 	燈籠	c=1 d=3.38765e-31 t=21961
deng lu 	登錄	c=50 d=1.54664 t=21961
deng lu hou 	登錄後	c=1 d=2.15859e-23 t=21961
deng tong yu 	等同於	c=1 d=0.00946646 t=21961
deng xia 	等下	c=2 d=0.000170803 t=21961
deng yu 	等於	c=3 d=0.117074 t=21961
deng zhan 	燈盞	c=1 d=4.03553e-31 t=21961
deng zhu 	燈珠	c=1 d=4.81074e-10 t=21961
di 	低	c=7 d=0.56836 t=21961
di 	底	c=3 d=0.151073 t=21961
di 	第	c=34 d=2.40183 t=21961
di bu 	底部	c=1 d=8.75949e-31 t=21961
di ceng 	底層	c=7 d=1.72694 t=21961
di ceng de 	底層的	c=1 d=0.0031354 t=21961
di da 	嘀嗒	c=3 d=0.00716425 t=21961
di er 	第二	c=1 d=0.000140543 t=21961
di er ban 	第二版	c=2 d=2.23425e-19 t=21961
di er ceng 	第二層	c=1 d=0.0200405 t=21961
di fang 	地方	c=2 d=0.283654 t=21961
di ge 	低個	c=1 d=3.54973e-22 t=21961
di gong hao 	低功耗	c=9 d=0.00705759 t=21961
di gui 	遞歸	c=1 d=5.70122e-08 t=21961
di ji 	第幾	c=1 d=0.582748 t=21961
di ji dai 	第幾代	c=1 d=0.0405589 t=21961
di le 	低了	c=0 d=7.61514e-32 t=21961
di que 	的確	c=1 d=0.000161662 t=21961
di san 	第三	c=2 d=0.551563 t=21961
di san ge 	第三個	c=2 d=1.52273e-10 t=21961
di si 	第四	c=0 d=6.44585e-12 t=21961
di si wei 	第四位	c=1 d=6.47816e-11 t=21961
di wei 	地位	c=1 d=2.70749e-12 t=21961
di yi 	第一	c=4 d=0.286508 t=21961
di yi bao 	第一包	c=1 d=1.32331e-31 t=21961
di yi ceng 	第一層	c=1 d=0.0195457 t=21961
di yi ci 	第一次	c=4 d=0.744532 t=21961
di yi dai 	第一代	c=1 d=6.65347e-31 t=21961
di yi tiao 	第一條	c=1 d=0.000206543 t=21961
di yi zhen 	第一幀	c=1 d=1.81834e-05 t=21961
di yi zi jie 	第一字節	c=1 d=0.00010622 t=21961
di yi zuo 	第一座	c=2 d=8.89441e-31 t=21961
di yu 	低於	c=0 d=2.73228e-32 t=21961
di yu 	地獄	c=1 d=1.9858e-12 t=21961
di yu you shi 	低於優勢	c=1 d=2.74598e-31 t=21961
di zhi 	地址	c=92 d=1.43644 t=21961
dia biao 	嗲表	c=1 d=6.51063e-11 t=21961
dian 	丶	c=2 d=2.42426e-31 t=21961
dian 	電	c=2 d=0.181772 t=21961
dian 	點	c=12 d=1.34322 t=21961
dian biao 	電錶	c=2 d=0.414783 t=21961
dian chi 	電池	c=32 d=0.392285 t=21961
dian chi ban 	電池版	c=9 d=0.286315 t=21961
dian chi dian ya 	電池電壓	c=1 d=2.44859e-06 t=21961
dian hao 	點好	c=1 d=2.65342e-10 t=21961
dian hao 	點號	c=1 d=0.00583561 t=21961
dian ji 	點擊	c=1 d=5.04348e-07 t=21961
dian liang 	電量	c=2 d=3.63161e-10 t=21961
dian liang 	點亮	c=1 d=2.79526e-05 t=21961
dian liu 	電流	c=3 d=0.600978 t=21961
dian lu 	電路	c=20 d=1.46118 t=21961
dian nao 	電腦	c=2 d=3.36445e-09 t=21961
dian rong 	電容	c=11 d=0.539853 t=21961
dian xin 	電信	c=1 d=0.000689186 t=21961
dian ya 	電壓	c=58 d=1.51874 t=21961
dian yuan 	電源	c=1 d=2.02695e-18 t=21961
dian yuan 	點元	c=1 d=2.29527e-10 t=21961
dian zi 	電子	c=2 d=0.0850088 t=21961
diao 	屌	c=1 d=3.09829e-10 t=21961
diao 	掉	c=2 d=4.23378e-07 t=21961
diao dian 	掉電	c=3 d=0.000573203 t=21961
diao du 	調度	c=1 d=2.05052e-07 t=21961
diao le 	掉了	c=1 d=2.77122e-21 t=21961
diao yong 	調用	c=12 d=1.0239 t=21961
ding 	定	c=2 d=0.0833256 t=21961
ding ban 	定版	c=24 d=1.86594e-08 t=21961
ding gong hao 	定功耗	c=1 d=1.17715e-07 t=21961
ding ke 	丁克	c=1 d=0.0158434 t=21961
ding shi 	定時	c=9 d=0.357514 t=21961
ding shi qi 	定時器	c=16 d=0.696562 t=21961
ding wei 	定位	c=2 d=0.00214557 t=21961
ding yi 	定義	c=45 d=1.83712 t=21961
ding yi le 	定義了	c=1 d=5.38128e-05 t=21961
ding yi wei 	定義爲	c=1 d=2.09701e-06 t=21961
ding yi yu 	定義域	c=1 d=0.035437 t=21961
ding zhi 	定值	c=1 d=1.35866e-47 t=21961
ding zhi 	定製	c=1 d=0.802519 t=21961
diu 	丟	c=1 d=0.847894 t=21961
diu shi 	丟失	c=3 d=8.98765e-10 t=21961
dong 	動	c=1 d=2.86602e-05 t=21961
dong 	東	c=3 d=0.786628 t=21961
dong cheng 	凍成	c=1 d=3.6698e-31 t=21961
dong dong 	東東	c=1 d=4.3522e-08 t=21961
dong fang 	東方	c=1 d=0.000567086 t=21961
dong feng 	東風	c=2 d=1.09536e-05 t=21961
dong ji 	冬季	c=2 d=0.0015415 t=21961
dong jie 	凍結	c=13 d=0.00665416 t=21961
dong jie shu ju 	凍結數據	c=1 d=1.79158e-07 t=21961
dong shou 	動手	c=0 d=0.000995182 t=21961
dong tai 	動態	c=3 d=0.0762712 t=21961
dong xi 	東西	c=4 d=0.00941925 t=21961
dong zhu 	凍住	c=1 d=3.87004e-09 t=21961
dong zuo 	動作	c=8 d=2.22665 t=21961
dou 	豆	c=2 d=5.16393e-11 t=21961
dou 	都	c=12 d=0.537944 t=21961
dou bu neng 	都不能	c=1 d=0.000149981 t=21961
dou dei shi 	都得是	c=1 d=5.43056e-24 t=21961
dou dou 	豆豆	c=1 d=2.55598e-11 t=21961
dou shi 	都是	c=1 d=0.506617 t=21961
dou yao 	都要	c=3 d=0.980267 t=21961
dou you 	都有	c=1 d=1.3025e-21 t=21961
du 	度	c=1 d=0.174645 t=21961
du 	讀	c=22 d=1.82412 t=21961
du dao 	讀到	c=1 d=0.740818 t=21961
du di zhi 	讀地址	c=1 d=0.000110555 t=21961
du duo shao 	讀多少	c=1 d=0.16696 t=21961
du li 	獨立	c=6 d=1.32352 t=21961
du li kai 	獨立開	c=1 d=0.0214936 t=21961
du qu 	讀取	c=98 d=3.71868 t=21961
du she 	讀設	c=6 d=0.0120063 t=21961
du shi zhong 	讀時鐘	c=1 d=0.000232877 t=21961
du te 	獨特	c=1 d=4.82191e-31 t=21961
du te de 	獨特的	c=1 d=2.73228e-31 t=21961
du xie 	讀寫	c=5 d=0.000360029 t=21961
du yin 	讀音	c=1 d=3.00672e-10 t=21961
du zhu 	堵住	c=1 d=0.0119742 t=21961
duan 	段	c=6 d=0.000733572 t=21961
duan 	短	c=4 d=0.0488124 t=21961
duan 	端	c=5 d=0.33454 t=21961
duan dian 	斷電	c=6 d=0.266644 t=21961
duan dian hou 	斷電後	c=1 d=3.94755e-07 t=21961
duan kai 	斷開	c=2 d=0.000620491 t=21961
duan kou 	端口	c=48 d=0.431597 t=21961
duan shi jian 	段時間	c=1 d=4.12925e-07 t=21961
duan zheng xing 	段整型	c=1 d=0.00737249 t=21961
dui 	對	c=87 d=1.9113 t=21961
dui ba 	對吧	c=3 d=9.62735e-20 t=21961
dui bi 	對比	c=1 d=0.0246002 t=21961
dui bi du 	對比度	c=1 d=1.37807e-08 t=21961
dui dai 	對待	c=1 d=2.58123e-09 t=21961
dui hao 	對號	c=2 d=3.86792e-24 t=21961
dui jie 	對接	c=1 d=6.40041e-16 t=21961
dui lie 	隊列	c=4 d=1.29611e-06 t=21961
dui lve 	對略	c=1 d=3.72729e-08 t=21961
dui ma 	對嗎	c=2 d=0.494109 t=21961
dui qi 	對其	c=2 d=0.0468877 t=21961
dui qi 	對齊	c=13 d=0.0507806 t=21961
dui tou 	隊頭	c=1 d=5.05653e-08 t=21961
dui wai 	對外	c=1 d=5.05653e-08 t=21961
dui wei 	隊尾	c=1 d=4.95641e-08 t=21961
dui ying 	對應	c=8 d=0.692362 t=21961
dui ying de 	對應的	c=1 d=3.06163e-17 t=21961
dui zhan 	堆棧	c=1 d=1.47442e-09 t=21961
dui zhao 	對照	c=1 d=0.0227089 t=21961
duo 	多	c=12 d=0.45612 t=21961
duo ci 	多次	c=1 d=0.891366 t=21961
duo da 	多大	c=1 d=1.48924e-09 t=21961
duo ge 	多個	c=1 d=5.65911e-09 t=21961
duo gui yue 	多規約	c=1 d=0.00484407 t=21961
duo jiu 	多久	c=4 d=9.13245e-21 t=21961
duo le 	多了	c=3 d=0.0712134 t=21961
duo lu 	多路	c=1 d=1.10611e-10 t=21961
duo ping 	多屏	c=1 d=6.91771e-48 t=21961
duo shao 	多少	c=4 d=0.231761 t=21961
duo shou 	多收	c=2 d=0.170974 t=21961
duo tai 	多臺	c=1 d=0.249075 t=21961
duo tiao 	多條	c=1 d=1.9158e-31 t=21961
duo xie 	多謝	c=1 d=2.24089e-22 t=21961
duo yi ge 	多一個	c=1 d=0.00218749 t=21961
duo yu 	多於	c=3 d=0.121846 t=21961
duo yu 	多餘	c=1 d=2.14527e-09 t=21961
e 	額	c=1 d=2.4059e-05 t=21961
ei 	誒	c=0 d=9.50713e-25 t=21961
en 	嗯	c=11 d=0.0917039 t=21961
en en 	嗯嗯	c=3 d=9.85615e-07 t=21961
en hao 	嗯好	c=1 d=1.77188e-24 t=21961
eng 	鞥	c=1 d=3.11382e-10 t=21961
er 	二	c=18 d=0.0259961 t=21961
er 	兒	c=5 d=0.144424 t=21961
er 	爾	c=1 d=2.86935e-48 t=21961
er 	而	c=11 d=0.440432 t=21961
er bu 	而不	c=1 d=2.53753e-14 t=21961
er bu shi 	而不是	c=9 d=0.454712 t=21961
er fei 	而非	c=1 d=1.67188e-17 t=21961
er hua bu shuo 	二話不說	c=1 d=6.25215e-05 t=21961
er ji 	二級	c=2 d=6.40372e-09 t=21961
er lai 	而來	c=1 d=8.76276e-06 t=21961
er men 	二門	c=0 d=4.23522e-12 t=21961
er qie 	而且	c=2 d=8.76276e-06 t=21961
er shi 	而是	c=6 d=0.865022 t=21961
er tong 	兒童	c=0 d=2.69215e-05 t=21961
er wen 	耳聞	c=1 d=7.19658e-13 t=21961
er xing 	二型	c=1 d=9.90555e-07 t=21961
er zhe 	二者	c=4 d=0.000259855 t=21961
fa 	法	c=1 d=1.45198e-05 t=21961
fa 	發	c=20 d=0.881998 t=21961
fa 	閥	c=1 d=6.88711e-19 t=21961
fa ba 	發吧	c=1 d=2.22395e-21 t=21961
fa biao 	發表	c=4 d=5.22214e-05 t=21961
fa bu 	發佈	c=43 d=0.909546 t=21961
fa bu qian 	發佈前	c=2 d=8.27241e-05 t=21961
fa chu 	發出	c=2 d=0.0119145 t=21961
fa gai wei 	發改委	c=1 d=5.42225e-06 t=21961
fa gei 	發給	c=3 d=6.57382e-07 t=21961
fa guo qu 	發過去	c=2 d=0.640824 t=21961
fa hui 	發揮	c=1 d=1.52217e-31 t=21961
fa huo 	發貨	c=5 d=0.591555 t=21961
fa kong 	閥控	c=29 d=1.98371 t=21961
fa le 	發了	c=1 d=4.70251e-07 t=21961
fa men 	閥門	c=22 d=6.9418 t=21961
fa men zhuang tai 	閥門狀態	c=1 d=0.0138427 t=21961
fa ming 	發明	c=1 d=1.30073e-05 t=21961
fa ni 	發你	c=1 d=3.0585e-05 t=21961
fa pai 	發牌	c=1 d=0.0026852 t=21961
fa sheng 	發生	c=11 d=0.380983 t=21961
fa sheng guo 	發生過	c=1 d=2.54237e-07 t=21961
fa sheng le 	發生了	c=1 d=6.84444e-11 t=21961
fa song 	發送	c=99 d=7.66105 t=21961
fa wang 	發往	c=2 d=0.474734 t=21961
fa wo 	發我	c=1 d=0.00078095 t=21961
fa xian 	發現	c=14 d=0.479881 t=21961
fa yan 	法眼	c=1 d=1.36765e-07 t=21961
fa zhan 	發展	c=3 d=2.99794e-05 t=21961
fa zhen 	發幀	c=5 d=0.108068 t=21961
fan 	反	c=12 d=0.664175 t=21961
fan 	飯	c=1 d=0.010358 t=21961
fan an 	翻案	c=0 d=0.0283654 t=21961
fan bi 	反比	c=1 d=6.02255e-06 t=21961
fan hui 	返回	c=26 d=0.718256 t=21961
fan hui zhi 	返回值	c=4 d=4.5514e-05 t=21961
fan le 	犯了	c=1 d=7.31927e-06 t=21961
fan shi 	凡是	c=1 d=1.034e-11 t=21961
fan suo 	繁瑣	c=1 d=0.114178 t=21961
fan wei 	範圍	c=7 d=0.0349094 t=21961
fan xia 	犯下	c=1 d=9.07488e-06 t=21961
fan yi 	翻譯	c=0 d=2.1232e-06 t=21961
fan yi ci 	反義詞	c=1 d=0.00102814 t=21961
fan yi guo lai 	翻譯過來	c=1 d=2.13384e-05 t=21961
fan zhuan 	翻轉	c=1 d=3.43523e-48 t=21961
fang 	放	c=1 d=3.95146e-48 t=21961
fang 	方	c=3 d=4.41423e-05 t=21961
fang an 	方案	c=27 d=0.147723 t=21961
fang an er 	方案二	c=1 d=3.13753e-11 t=21961
fang an yi 	方案一	c=1 d=3.09082e-11 t=21961
fang bian 	方便	c=3 d=9.75642e-05 t=21961
fang bu xia 	放不下	c=1 d=4.18653e-22 t=21961
fang cun 	方寸	c=1 d=0.00472447 t=21961
fang dao 	放到	c=1 d=3.81555e-48 t=21961
fang fa 	方法	c=3 d=0.00538036 t=21961
fang fu 	彷彿	c=1 d=0.0166557 t=21961
fang ge 	放個	c=1 d=3.74394e-31 t=21961
fang jin 	放進	c=1 d=3.63329e-31 t=21961
fang kai 	放開	c=4 d=0.245657 t=21961
fang ke 	方可	c=3 d=0.00177395 t=21961
fang kuang 	方框	c=1 d=0.00315111 t=21961
fang mian 	方面	c=12 d=0.539784 t=21961
fang shi 	方式	c=34 d=0.348739 t=21961
fang wen 	訪問	c=6 d=0.367879 t=21961
fang xia 	放下	c=2 d=1.75737e-07 t=21961
fang xiang 	方向	c=1 d=4.63644e-17 t=21961
fang zai 	放在	c=1 d=9.51715e-07 t=21961
fang zhi 	防止	c=6 d=0.484325 t=21961
fei 	非	c=9 d=0.817243 t=21961
fei chang 	非常	c=2 d=0.00501661 t=21961
fei lv 	費率	c=6 d=0.00591532 t=21961
fei qi 	廢棄	c=10 d=6.33133e-06 t=21961
fei xing 	飛行	c=3 d=5.01665e-22 t=21961
fei yong 	費用	c=2 d=1.42325e-30 t=21961
fen 	份	c=1 d=1.75609e-12 t=21961
fen 	分	c=9 d=0.0259155 t=21961
fen bao 	分包	c=4 d=3.31909e-05 t=21961
fen bie 	分別	c=2 d=0.000448647 t=21961
fen bu 	分佈	c=1 d=3.16357e-20 t=21961
fen fa 	分發	c=2 d=9.3854e-10 t=21961
fen fen 	紛紛	c=2 d=0.04981 t=21961
fen lei 	分類	c=5 d=0.0634611 t=21961
fen li 	分離	c=7 d=8.05529e-10 t=21961
fen pei 	分配	c=13 d=0.0460939 t=21961
fen pei qi 	分配器	c=1 d=0.000200439 t=21961
fen ti 	分體	c=2 d=8.01459e-05 t=21961
fen wei 	分爲	c=2 d=0.00869506 t=21961
fen xi 	分析	c=13 d=0.600403 t=21961
fen xian 	分線	c=1 d=6.38714e-21 t=21961
fen xiang 	分享	c=2 d=0.00868629 t=21961
fen ya 	分壓	c=1 d=3.94272e-22 t=21961
fen zhen 	分幀	c=2 d=1.86437e-05 t=21961
fen zhi 	分支	c=59 d=0.0471227 t=21961
fen zhong 	分鐘	c=13 d=0.0173355 t=21961
fen zu 	分組	c=5 d=6.57494e-09 t=21961
feng 	奉	c=1 d=0.000584356 t=21961
feng 	封	c=1 d=1.53407e-05 t=21961
feng shen 	風神	c=2 d=1.10085e-05 t=21961
feng wei 	風味	c=1 d=0.0352602 t=21961
feng xian 	風險	c=4 d=0.889727 t=21961
feng xiang 	封箱	c=1 d=0.0015415 t=21961
feng zhuang 	封裝	c=3 d=0.00299743 t=21961
fou 	否	c=17 d=0.965605 t=21961
fou ze 	否則	c=10 d=0.246607 t=21961
fu 	副	c=1 d=1.38611e-47 t=21961
fu 	符	c=9 d=0.00726273 t=21961
fu 	覆	c=1 d=1.78756e-10 t=21961
fu 	負	c=0 d=1.25599e-06 t=21961
fu dian 	浮點	c=2 d=0.000895987 t=21961
fu dian xing 	浮點型	c=2 d=0.0183771 t=21961
fu gui hua 	富貴花	c=0 d=2.70565e-05 t=21961
fu hao 	符號	c=4 d=8.56707e-05 t=21961
fu he 	符合	c=2 d=8.10998e-07 t=21961
fu jia 	附加	c=4 d=0.000339884 t=21961
fu lan 	腐爛	c=2 d=3.48545e-31 t=21961
fu shi 	腐蝕	c=1 d=4.35146e-06 t=21961
fu shu 	複數	c=1 d=7.9084e-05 t=21961
fu wei 	復位	c=29 d=0.0035275 t=21961
fu wei hou 	復位後	c=1 d=9.40293e-12 t=21961
fu wu qi 	服務器	c=6 d=8.75266e-06 t=21961
fu xian 	復現	c=1 d=7.12255e-09 t=21961
fu xiang guan 	負相關	c=1 d=1.26229e-05 t=21961
fu xing 	複姓	c=1 d=4.14064e-10 t=21961
fu yong 	復用	c=3 d=0.825352 t=21961
fu za 	複雜	c=2 d=0.0944202 t=21961
fu ze 	負責	c=3 d=0.00884692 t=21961
fu zheng 	斧正	c=1 d=0.00271219 t=21961
fu zhi 	複製	c=3 d=6.94857e-09 t=21961
fu zhi 	賦值	c=6 d=0.000252273 t=21961
fu zhu 	付諸	c=0 d=0.000995182 t=21961
fu zhu 	輔助	c=1 d=7.6812e-15 t=21961
fu zhu yu 	付諸於	c=1 d=0.0100017 t=21961
ga 	玍	c=1 d=3.08284e-10 t=21961
gai 	改	c=4 d=0.00459167 t=21961
gai 	該	c=50 d=0.508466 t=21961
gai ban 	改版	c=2 d=2.71966e-10 t=21961
gai ban ben 	該版本	c=7 d=3.70049e-10 t=21961
gai can shu 	該參數	c=1 d=1.27606e-15 t=21961
gai cheng 	改成	c=2 d=3.32984e-05 t=21961
gai cheng le 	改成了	c=1 d=1.84582e-05 t=21961
gai dong 	改動	c=2 d=0.000614317 t=21961
gai ge shi 	該格式	c=2 d=1.23452e-08 t=21961
gai gong shi 	該公式	c=1 d=0.000113922 t=21961
gai han shu 	改函數	c=2 d=0.0614771 t=21961
gai jin 	改進	c=1 d=9.04346e-24 t=21961
gai le 	改了	c=1 d=1.22665e-21 t=21961
gai liu cheng 	該流程	c=1 d=1.12826e-08 t=21961
gai lv 	概率	c=0 d=4.12209e-17 t=21961
gai nian 	概念	c=8 d=9.75642e-05 t=21961
gai ren wu 	該任務	c=1 d=1.34541e-20 t=21961
gai ri 	該日	c=3 d=7.73104e-07 t=21961
gai shan 	改善	c=1 d=7.1359e-31 t=21961
gai shi jian 	該時間	c=1 d=1.57859e-18 t=21961
gai shu 	概述	c=1 d=4.32519e-23 t=21961
gai te xing 	該特性	c=2 d=0.0141782 t=21961
gai tu 	改圖	c=1 d=2.96448e-20 t=21961
gai wei 	改爲	c=18 d=0.878157 t=21961
gai wen dang 	該文檔	c=1 d=2.0869e-08 t=21961
gai wen jian 	該文件	c=1 d=3.32577e-20 t=21961
gai wen ti 	該問題	c=1 d=6.84211e-07 t=21961
gai yi xia 	改一下	c=1 d=0.000219315 t=21961
gai yong 	改用	c=3 d=0.000163287 t=21961
gai zhi 	改之	c=1 d=1.37544e-15 t=21961
gai zhi 	該值	c=4 d=0.00273066 t=21961
gai zi 	蓋子	c=1 d=7.57071e-21 t=21961
